Patient Name: FANTOMA, AGUA
Patient ID: FANTOMA
Plan: 23 EXS DFP100
Course: ANUAL CURVAS
Date: viernes, 27 de mayo de 2022 09:27:24 a.m.
Exported by: rlapera

Start: (0.00, 0.00, 25.01)
End:   (0.00, 0.00, -10.00)

	050*050	100*100	150*150	200*200	250*250	350*350	380*380
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.025006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.050012	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.075018	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.100024	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.125031	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.150037	7.537425	7.463251	7.380033	7.306259	7.249229	7.179985	7.167925
0.175043	8.143903	7.987693	7.812324	7.657015	7.536838	7.390671	7.365357
0.200049	8.750382	8.512136	8.244616	8.007771	7.824448	7.601357	7.562789
0.225055	9.356860	9.036578	8.676907	8.358527	8.112057	7.812043	7.760221
0.250061	9.963338	9.561020	9.109199	8.709283	8.399667	8.022730	7.957652
0.275067	10.569817	10.085462	9.541490	9.060039	8.687277	8.233416	8.155084
0.300073	11.176295	10.609904	9.973781	9.410794	8.974886	8.444102	8.352516
0.325079	11.782773	11.134347	10.406073	9.761550	9.262496	8.654789	8.549948
0.350086	12.389252	11.658789	10.838364	10.112306	9.550105	8.865475	8.747380
0.375092	12.995730	12.183231	11.270656	10.463062	9.837715	9.076161	8.944811
0.400098	13.304236	12.456030	11.505658	10.663603	10.010694	9.215450	9.078291
0.425104	13.581718	12.702630	11.720121	10.848505	10.171740	9.347305	9.205112
0.450110	13.859201	12.949229	11.934583	11.033407	10.332785	9.479161	9.331933
0.475116	14.136684	13.195829	12.149045	11.218310	10.493830	9.611016	9.458754
0.500122	14.414167	13.442429	12.363508	11.403212	10.654875	9.742871	9.585575
0.525128	14.691650	13.689028	12.577970	11.588114	10.815920	9.874727	9.712397
0.550134	14.969132	13.935628	12.792432	11.773016	10.976965	10.006582	9.839218
0.575141	15.246615	14.182228	13.006895	11.957918	11.138010	10.138437	9.966039
0.600147	15.524098	14.428828	13.221357	12.142820	11.299055	10.270293	10.092860
0.625153	15.801581	14.675427	13.435819	12.327722	11.460100	10.402148	10.219681
0.650159	15.956222	14.813113	13.556977	12.434128	11.554149	10.480297	10.295078
0.675165	16.098439	14.939783	13.668698	12.532594	11.641422	10.553015	10.365274
0.700171	16.240656	15.066453	13.780418	12.631061	11.728696	10.625733	10.435470
0.725177	16.382874	15.193122	13.892139	12.729527	11.815969	10.698450	10.505665
0.750183	16.525091	15.319792	14.003859	12.827994	11.903242	10.771168	10.575861
0.775189	16.667308	15.446462	14.115580	12.926460	11.990515	10.843885	10.646057
0.800196	16.809525	15.573132	14.227300	13.024927	12.077788	10.916603	10.716253
0.825202	16.951742	15.699802	14.339021	13.123393	12.165061	10.989320	10.786448
0.850208	17.093959	15.826471	14.450742	13.221860	12.252335	11.062038	10.856644
0.875214	17.236176	15.953141	14.562462	13.320326	12.339608	11.134755	10.926840
0.900220	17.320525	16.025314	14.622121	13.369516	12.380354	11.164057	10.954089
0.925226	17.399193	16.092136	14.676668	13.413867	12.416532	11.189095	10.977122
0.950232	17.477860	16.158957	14.731215	13.458218	12.452710	11.214134	11.000155
0.975238	17.556527	16.225779	14.785762	13.502569	12.488888	11.239173	11.023187
1.000244	17.635195	16.292601	14.840310	13.546920	12.525066	11.264211	11.046220
1.025251	17.713862	16.359422	14.894857	13.591272	12.561244	11.289250	11.069253
1.050257	17.792529	16.426244	14.949404	13.635623	12.597423	11.314288	11.092285
1.075263	17.871197	16.493066	15.003951	13.679974	12.633601	11.339327	11.115318
1.100269	17.949864	16.559887	15.058498	13.724325	12.669779	11.364365	11.138351
1.125275	18.028531	16.626709	15.113045	13.768676	12.705957	11.389404	11.161384
1.150281	18.068138	16.658709	15.136803	13.785547	12.717481	11.393520	11.164144
1.175287	18.104025	16.687392	15.157628	13.799801	12.726658	11.395643	11.164973
1.200293	18.139912	16.716075	15.178453	13.814054	12.735834	11.397767	11.165802
1.225299	18.175798	16.744759	15.199278	13.828308	12.745010	11.399890	11.166631
1.250306	18.211685	16.773442	15.220103	13.842561	12.754186	11.402013	11.167460
1.275312	18.247571	16.802125	15.240929	13.856815	12.763363	11.404137	11.168290
1.300318	18.283458	16.830808	15.261754	13.871068	12.772539	11.406260	11.169119
