Patient Name: FANTOMA, AGUA
Patient ID: FANTOMA
Plan: 23 EXS DFP100
Course: ANUAL CURVAS
Date: viernes, 27 de mayo de 2022 09:18:52 a.m.
Exported by: rlapera

Start: (24.29, 0.00, 23.51)
End:   (-24.29, 0.00, 23.51)

	050*050	100*100	150*150	200*200	250*250	350*350	380*380
-24.293058	0.000000	0.000000	0.000000	0.000000	0.111511	0.369200	0.525489
-24.268048	0.000000	0.000000	0.000000	0.000000	0.112058	0.371397	0.528245
-24.243037	0.000000	0.000000	0.000000	0.000000	0.112606	0.373594	0.531002
-24.218026	0.000000	0.000000	0.000000	0.000000	0.113153	0.375791	0.533758
-24.193016	0.000000	0.000000	0.000000	0.000000	0.113701	0.377988	0.536514
-24.168005	0.000000	0.000000	0.000000	0.000000	0.114249	0.380185	0.539270
-24.142994	0.000000	0.000000	0.000000	0.000000	0.114796	0.382382	0.542027
-24.117984	0.000000	0.000000	0.000000	0.000000	0.115346	0.384593	0.544798
-24.092973	0.000000	0.000000	0.000000	0.000000	0.115897	0.386813	0.547581
-24.067963	0.000000	0.000000	0.000000	0.000000	0.116448	0.389033	0.550363
-24.042952	0.000000	0.000000	0.000000	0.000000	0.117000	0.391252	0.553145
-24.017941	0.000000	0.000000	0.000000	0.000000	0.117551	0.393472	0.555927
-23.992931	0.000000	0.000000	0.000000	0.000000	0.118102	0.395692	0.558710
-23.967920	0.000000	0.000000	0.000000	0.000000	0.118653	0.397912	0.561492
-23.942909	0.000000	0.000000	0.000000	0.000000	0.119205	0.400132	0.564274
-23.917899	0.000000	0.000000	0.000000	0.000000	0.119756	0.402352	0.567057
-23.892888	0.000000	0.000000	0.000000	0.000000	0.120307	0.404572	0.569839
-23.867877	0.000000	0.000000	0.000000	0.000000	0.120832	0.406739	0.572546
-23.842867	0.000000	0.000000	0.000000	0.000000	0.121339	0.408869	0.575200
-23.817856	0.000000	0.000000	0.000000	0.000000	0.121847	0.411000	0.577855
-23.792846	0.000000	0.000000	0.000000	0.000000	0.122354	0.413130	0.580509
-23.767835	0.000000	0.000000	0.000000	0.000000	0.122861	0.415260	0.583164
-23.742824	0.000000	0.000000	0.000000	0.000000	0.123368	0.417391	0.585818
-23.717814	0.000000	0.000000	0.000000	0.000000	0.123875	0.419521	0.588472
-23.692803	0.000000	0.000000	0.000000	0.000000	0.124382	0.421651	0.591127
-23.667792	0.000000	0.000000	0.000000	0.000000	0.124889	0.423782	0.593781
-23.642782	0.000000	0.000000	0.000000	0.000000	0.125396	0.425912	0.596436
-23.617771	0.000000	0.000000	0.000000	0.000000	0.125856	0.427973	0.599003
-23.592760	0.000000	0.000000	0.000000	0.000000	0.126282	0.429986	0.601510
-23.567750	0.000000	0.000000	0.000000	0.000000	0.126709	0.431999	0.604017
-23.542739	0.000000	0.000000	0.000000	0.000000	0.127135	0.434012	0.606524
-23.517728	0.000000	0.000000	0.000000	0.000000	0.127562	0.436026	0.609031
-23.492718	0.000000	0.000000	0.000000	0.000000	0.127989	0.438039	0.611538
-23.467707	0.000000	0.000000	0.000000	0.000000	0.128415	0.440052	0.614046
