Patient Name: FANTOMA, AGUA
Patient ID: FANTOMA
Plan: 23 EXS DFP100
Course: ANUAL CURVAS
Date: viernes, 27 de mayo de 2022 09:23:20 a.m.
Exported by: rlapera

Start: (-24.23, 0.00, 15.00)
End:   (24.46, 0.00, 15.00)

	050*050	100*100	150*150	200*200	250*250	350*350	380*380
-24.238318	0.000000	0.000000	0.000000	0.089128	0.167286	0.574471	0.797585
-24.213309	0.000000	0.000000	0.000000	0.089435	0.168054	0.577290	0.801406
-24.188300	0.000000	0.000000	0.000000	0.089741	0.168822	0.580108	0.805227
-24.163291	0.000000	0.000000	0.000000	0.090048	0.169590	0.582927	0.809048
-24.138282	0.000000	0.000000	0.000000	0.090354	0.170358	0.585746	0.812869
-24.113273	0.000000	0.000000	0.000000	0.090754	0.171185	0.588658	0.816781
-24.088264	0.000000	0.000000	0.000000	0.091190	0.172034	0.591605	0.820728
-24.063255	0.000000	0.000000	0.000000	0.091626	0.172883	0.594553	0.824676
-24.038246	0.000000	0.000000	0.000000	0.092063	0.173732	0.597501	0.828624
-24.013238	0.000000	0.000000	0.000000	0.092499	0.174582	0.600449	0.832571
-23.988229	0.000000	0.000000	0.000000	0.092935	0.175431	0.603396	0.836519
-23.963220	0.000000	0.000000	0.000000	0.093371	0.176280	0.606344	0.840467
-23.938211	0.000000	0.000000	0.000000	0.093808	0.177129	0.609292	0.844414
-23.913202	0.000000	0.000000	0.000000	0.094244	0.177979	0.612240	0.848362
-23.888193	0.000000	0.000000	0.000000	0.094680	0.178828	0.615187	0.852309
-23.863184	0.000000	0.000000	0.000000	0.095116	0.179692	0.618253	0.856439
-23.838175	0.000000	0.000000	0.000000	0.095552	0.180561	0.621365	0.860640
-23.813166	0.000000	0.000000	0.000000	0.095987	0.181431	0.624476	0.864840
-23.788157	0.000000	0.000000	0.000000	0.096423	0.182301	0.627588	0.869041
-23.763148	0.000000	0.000000	0.000000	0.096859	0.183170	0.630699	0.873241
-23.738139	0.000000	0.000000	0.000000	0.097294	0.184040	0.633811	0.877441
-23.713130	0.000000	0.000000	0.000000	0.097730	0.184910	0.636923	0.881642
-23.688121	0.000000	0.000000	0.000000	0.098166	0.185779	0.640034	0.885842
-23.663112	0.000000	0.000000	0.000000	0.098601	0.186649	0.643146	0.890042
-23.638103	0.000000	0.000000	0.000000	0.099037	0.187519	0.646257	0.894243
-23.613094	0.000000	0.000000	0.000000	0.099489	0.188403	0.649436	0.898639
-23.588085	0.000000	0.000000	0.000000	0.099947	0.189292	0.652640	0.903111
-23.563076	0.000000	0.000000	0.000000	0.100405	0.190182	0.655845	0.907582
-23.538067	0.000000	0.000000	0.000000	0.100863	0.191071	0.659049	0.912053
-23.513058	0.000000	0.000000	0.000000	0.101322	0.191961	0.662253	0.916524
-23.488049	0.000000	0.000000	0.000000	0.101780	0.192850	0.665458	0.920995
-23.463040	0.000000	0.000000	0.000000	0.102238	0.193739	0.668662	0.925466
-23.438031	0.000000	0.000000	0.000000	0.102696	0.194629	0.671866	0.929937
-23.413022	0.000000	0.000000	0.000000	0.103155	0.195518	0.675071	0.934408
-23.388013	0.000000	0.000000	0.000000	0.103613	0.196408	0.678275	0.938880
-23.363004	0.000000	0.000000	0.000000	0.104087	0.197371	0.681612	0.943587
-23.337995	0.000000	0.000000	0.000000	0.104566	0.198361	0.684999	0.948382
-23.312986	0.000000	0.000000	0.000000	0.105046	0.199352	0.688385	0.953177
-23.287977	0.000000	0.000000	0.000000	0.105526	0.200343	0.691772	0.957972
-23.262968	0.000000	0.000000	0.000000	0.106005	0.201333	0.695158	0.962768
-23.237959	0.000000	0.000000	0.000000	0.106485	0.202324	0.698545	0.967563
-23.212950	0.000000	0.000000	0.000000	0.106965	0.203315	0.701931	0.972358
