Patient Name: FANTOMA, AGUA
Patient ID: FANTOMA
Plan: UNIQUE DFP100
Course: ANUAL CURVAS
Date: viernes, 27 de mayo de 2022 09:39:22 a.m.
Exported by: rlapera

Start: (-0.00, 0.00, 25.00)
End:   (-0.00, 0.00, -10.00)

	050*050	100*100	150*150	200*200	250*250	350*350	380*380
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.025015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.050030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.075045	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.100060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.125075	8.508390	8.490898	8.472052	8.457050	8.446732	8.437441	8.436317
0.150090	9.043563	8.956917	8.864336	8.789985	8.739694	8.693535	8.688205
0.175106	9.578737	9.422935	9.256621	9.122920	9.032656	8.949629	8.940093
0.200121	10.113910	9.888954	9.648905	9.455855	9.325618	9.205724	9.191981
0.225136	10.649083	10.354973	10.041189	9.788790	9.618580	9.461818	9.443869
0.250151	11.184257	10.820991	10.433473	10.121725	9.911542	9.717912	9.695757
0.275166	11.719430	11.287010	10.825757	10.454660	10.204504	9.974007	9.947645
0.300181	12.254604	11.753029	11.218041	10.787595	10.497466	10.230101	10.199534
0.325196	12.789777	12.219048	11.610326	11.120531	10.790428	10.486195	10.451422
0.350211	13.324950	12.685066	12.002610	11.453466	11.083390	10.742289	10.703310
0.375226	13.780639	13.080750	12.335030	11.734764	11.330042	10.956937	10.914303
0.400241	14.011520	13.277508	12.498139	11.870019	11.445716	11.054361	11.009633
0.425256	14.242402	13.474266	12.661248	12.005274	11.561391	11.151785	11.104963
0.450271	14.473284	13.671024	12.824358	12.140529	11.677066	11.249208	11.200294
0.475287	14.704166	13.867782	12.987467	12.275784	11.792740	11.346632	11.295624
0.500302	14.935048	14.064539	13.150576	12.411039	11.908415	11.444056	11.390955
0.525317	15.165930	14.261297	13.313685	12.546294	12.024090	11.541480	11.486285
0.550332	15.396812	14.458055	13.476794	12.681549	12.139764	11.638904	11.581615
0.575347	15.627694	14.654813	13.639903	12.816804	12.255439	11.736328	11.676946
0.600362	15.858576	14.851571	13.803012	12.952059	12.371114	11.833752	11.772276
0.625377	16.055558	15.019070	13.941646	13.066912	12.469154	11.915955	11.852656
0.650392	16.159589	15.106345	14.013169	13.125827	12.518840	11.956423	11.892042
0.675407	16.263620	15.193620	14.084692	13.184741	12.568527	11.996890	11.931428
0.700422	16.367651	15.280894	14.156214	13.243655	12.618214	12.037358	11.970814
0.725437	16.471682	15.368169	14.227737	13.302569	12.667900	12.077826	12.010200
0.750452	16.575713	15.455444	14.299260	13.361484	12.717587	12.118294	12.049585
0.775468	16.679744	15.542719	14.370783	13.420398	12.767274	12.158762	12.088971
0.800483	16.783775	15.629994	14.442306	13.479312	12.816960	12.199230	12.128357
0.825498	16.887807	15.717268	14.513829	13.538226	12.866647	12.239698	12.167743
0.850513	16.991838	15.804543	14.585352	13.597141	12.916334	12.280166	12.207129
0.875528	17.079529	15.877456	14.644247	13.644943	12.956096	12.311774	12.237778
0.900543	17.123768	15.912175	14.669558	13.663193	12.969467	12.319821	12.245190
0.925558	17.168007	15.946894	14.694870	13.681444	12.982838	12.327867	12.252602
0.950573	17.212246	15.981613	14.720182	13.699695	12.996209	12.335914	12.260014
0.975588	17.256485	16.016332	14.745493	13.717946	13.009580	12.343961	12.267426
1.000603	17.300724	16.051050	14.770805	13.736197	13.022951	12.352008	12.274839
1.025618	17.344963	16.085769	14.796116	13.754447	13.036322	12.360054	12.282251
1.050633	17.389201	16.120488	14.821428	13.772698	13.049693	12.368101	12.289663
1.075648	17.433440	16.155207	14.846740	13.790949	13.063064	12.376148	12.297075
1.100664	17.477679	16.189926	14.872051	13.809200	13.076435	12.384195	12.304488
1.125679	17.512719	16.216885	14.890935	13.822050	13.085150	12.388371	12.308101
1.150694	17.524021	16.223819	14.893234	13.820966	13.081848	12.382559	12.301911
1.175709	17.535322	16.230752	14.895533	13.819882	13.078547	12.376746	12.295721
1.200724	17.546624	16.237686	14.897832	13.818798	13.075245	12.370934	12.289531
1.225739	17.557926	16.244620	14.900130	13.817714	13.071944	12.365122	12.283341
1.250754	17.569228	16.251554	14.902429	13.816630	13.068642	12.359310	12.277151
1.275769	17.580530	16.258488	14.904728	13.815546	13.065341	12.353498	12.270961
1.300784	17.591832	16.265422	14.907026	13.814462	13.062039	12.347685	12.264771
1.325799	17.603133	16.272356	14.909325	13.813378	13.058738	12.341873	12.258581
1.350814	17.614435	16.279290	14.911624	13.812294	13.055436	12.336061	12.252391
1.375829	17.621161	16.282668	14.911292	13.809274	13.050681	12.329312	12.245324
1.400845	17.616425	16.277142	14.904372	13.801406	13.042282	12.320218	12.236059
1.425860	17.611690	16.271615	14.897451	13.793538	13.033884	12.311124	12.226795
1.450875	17.606954	16.266089	14.890531	13.785669	13.025486	12.302029	12.217530
1.475890	17.602218	16.260562	14.883610	13.777801	13.017088	12.292935	12.208266
1.500905	17.597483	16.255036	14.876690	13.769933	13.008689	12.283840	12.199001
1.525920	17.592747	16.249509	14.869769	13.762064	13.000291	12.274746	12.189737
1.550935	17.588011	16.243983	14.862849	13.754196	12.991893	12.265652	12.180472
1.575950	17.583275	16.238456	14.855928	13.746327	12.983495	12.256557	12.171208
1.600965	17.578540	16.232930	14.849008	13.738459	12.975097	12.247463	12.161943
1.625980	17.571569	16.225822	14.841093	13.730022	12.966410	12.238403	12.152759
1.650995	17.559164	16.214869	14.830760	13.720204	12.957022	12.229428	12.143770
1.676010	17.546758	16.203916	14.820427	13.710385	12.947635	12.220452	12.134782
1.701026	17.534353	16.192962	14.810094	13.700567	12.938247	12.211477	12.125793
1.726041	17.521947	16.182009	14.799761	13.690748	12.928859	12.202501	12.116804
1.751056	17.509541	16.171056	14.789428	13.680929	12.919472	12.193526	12.107815
1.776071	17.497136	16.160102	14.779095	13.671111	12.910084	12.184550	12.098826
1.801086	17.484730	16.149149	14.768762	13.661292	12.900697	12.175575	12.089837
1.826101	17.472324	16.138196	14.758429	13.651473	12.891309	12.166599	12.080849
1.851116	17.459919	16.127242	14.748096	13.641655	12.881921	12.157624	12.071860
1.876131	17.446025	16.115213	14.737052	13.631359	12.872226	12.148543	12.062800
1.901146	17.428615	16.100641	14.724326	13.619935	12.861805	12.139212	12.053574
1.926161	17.411205	16.086070	14.711601	13.608511	12.851384	12.129882	12.044348
1.951176	17.393795	16.071498	14.698875	13.597088	12.840964	12.120551	12.035123
1.976191	17.376385	16.056927	14.686150	13.585664	12.830543	12.111220	12.025897
2.001206	17.358975	16.042355	14.673424	13.574240	12.820122	12.101890	12.016671
2.026222	17.341565	16.027784	14.660698	13.562817	12.809701	12.092559	12.007445
2.051237	17.324155	16.013213	14.647973	13.551393	12.799280	12.083228	11.998219
2.076252	17.306744	15.998641	14.635247	13.539969	12.788859	12.073898	11.988993
2.101267	17.289334	15.984070	14.622522	13.528545	12.778438	12.064567	11.979767
2.126282	17.270961	15.968736	14.609225	13.516708	12.767679	12.055002	11.970326
2.151297	17.250375	15.951653	14.594619	13.503919	12.756145	12.044899	11.960390
2.176312	17.229789	15.934570	14.580012	13.491131	12.744611	12.034796	11.950455
2.201327	17.209203	15.917487	14.565405	13.478342	12.733076	12.024693	11.940519
2.226342	17.188616	15.900404	14.550799	13.465554	12.721542	12.014590	11.930584
2.251357	17.168030	15.883321	14.536192	13.452766	12.710008	12.004487	11.920648
2.276372	17.147444	15.866238	14.521585	13.439977	12.698473	11.994384	11.910713
2.301387	17.126858	15.849155	14.506979	13.427189	12.686939	11.984281	11.900777
2.326403	17.106272	15.832072	14.492372	13.414401	12.675405	11.974178	11.890842
2.351418	17.085686	15.814989	14.477765	13.401612	12.663870	11.964075	11.880906
2.376433	17.064850	15.797743	14.463058	13.388757	12.652285	11.953960	11.870971
2.401448	17.043458	15.780131	14.448127	13.375751	12.640585	11.943819	11.861036
2.426463	17.022065	15.762520	14.433196	13.362746	12.628885	11.933677	11.851102
2.451478	17.000673	15.744909	14.418264	13.349741	12.617186	11.923535	11.841167
