Patient Name: FANTOMA, AGUA
Patient ID: FANTOMA
Plan: UNIQUE DFP100
Course: ANUAL CURVAS
Date: viernes, 27 de mayo de 2022 09:36:20 a.m.
Exported by: rlapera

Start: (-24.27, 0.00, 14.99)
End:   (24.20, 0.00, 15.01)

	050*050	100*100	150*150	200*200	250*250	350*350	380*380
-24.261923	0.000000	0.000000	0.000000	0.081018	0.151935	0.584376	0.842807
-24.236916	0.000000	0.000000	0.000000	0.081303	0.152595	0.587475	0.847024
-24.211909	0.000000	0.000000	0.000000	0.081587	0.153255	0.590575	0.851241
-24.186902	0.000000	0.000000	0.000000	0.081872	0.153915	0.593675	0.855458
-24.161895	0.000000	0.000000	0.000000	0.082157	0.154574	0.596775	0.859675
-24.136888	0.000000	0.000000	0.000000	0.082442	0.155234	0.599875	0.863893
-24.111882	0.000000	0.000000	0.000000	0.082758	0.155917	0.603033	0.868146
-24.086875	0.000000	0.000000	0.000000	0.083129	0.156642	0.606297	0.872464
-24.061868	0.000000	0.000000	0.000000	0.083500	0.157367	0.609560	0.876782
-24.036861	0.000000	0.000000	0.000000	0.083871	0.158091	0.612824	0.881099
-24.011854	0.000000	0.000000	0.000000	0.084242	0.158816	0.616087	0.885417
-23.986847	0.000000	0.000000	0.000000	0.084612	0.159541	0.619350	0.889735
-23.961840	0.000000	0.000000	0.000000	0.084983	0.160265	0.622614	0.894053
-23.936833	0.000000	0.000000	0.000000	0.085354	0.160990	0.625877	0.898371
-23.911826	0.000000	0.000000	0.000000	0.085725	0.161715	0.629141	0.902689
-23.886819	0.000000	0.000000	0.000000	0.086096	0.162439	0.632404	0.907006
-23.861812	0.000000	0.000000	0.000000	0.086465	0.163177	0.635725	0.911432
-23.836805	0.000000	0.000000	0.000000	0.086831	0.163937	0.639146	0.916049
-23.811798	0.000000	0.000000	0.000000	0.087196	0.164698	0.642567	0.920665
-23.786791	0.000000	0.000000	0.000000	0.087561	0.165458	0.645989	0.925282
-23.761784	0.000000	0.000000	0.000000	0.087927	0.166218	0.649410	0.929898
-23.736777	0.000000	0.000000	0.000000	0.088292	0.166979	0.652831	0.934514
-23.711771	0.000000	0.000000	0.000000	0.088658	0.167739	0.656253	0.939131
-23.686764	0.000000	0.000000	0.000000	0.089023	0.168500	0.659674	0.943747
-23.661757	0.000000	0.000000	0.000000	0.089388	0.169260	0.663095	0.948364
-23.636750	0.000000	0.000000	0.000000	0.089754	0.170020	0.666517	0.952980
-23.611743	0.000000	0.000000	0.000000	0.090137	0.170798	0.669981	0.957703
-23.586736	0.000000	0.000000	0.000000	0.090552	0.171605	0.673521	0.962612
-23.561729	0.000000	0.000000	0.000000	0.090967	0.172412	0.677061	0.967521
-23.536722	0.000000	0.000000	0.000000	0.091382	0.173219	0.680601	0.972430
-23.511715	0.000000	0.000000	0.000000	0.091797	0.174026	0.684140	0.977339
-23.486708	0.000000	0.000000	0.000000	0.092212	0.174833	0.687680	0.982248
-23.461701	0.000000	0.000000	0.000000	0.092627	0.175640	0.691220	0.987157
-23.436694	0.000000	0.000000	0.000000	0.093042	0.176447	0.694760	0.992066
-23.411687	0.000000	0.000000	0.000000	0.093457	0.177254	0.698300	0.996975
-23.386680	0.000000	0.000000	0.000000	0.093872	0.178061	0.701840	1.001884
-23.361673	0.000000	0.000000	0.000000	0.094284	0.178890	0.705438	1.006896
-23.336666	0.000000	0.000000	0.000000	0.094693	0.179757	0.709136	1.012087
-23.311660	0.000000	0.000000	0.000000	0.095102	0.180624	0.712835	1.017277
-23.286653	0.000000	0.000000	0.000000	0.095510	0.181490	0.716533	1.022467
-23.261646	0.000000	0.000000	0.000000	0.095919	0.182357	0.720231	1.027657
-23.236639	0.000000	0.000000	0.000000	0.096328	0.183223	0.723930	1.032847
-23.211632	0.000000	0.000000	0.000000	0.096736	0.184090	0.727628	1.038037
-23.186625	0.000000	0.000000	0.000000	0.097145	0.184957	0.731327	1.043228
-23.161618	0.000000	0.000000	0.000000	0.097554	0.185823	0.735025	1.048418
-23.136611	0.000000	0.000000	0.000000	0.097962	0.186690	0.738724	1.053608
-23.111604	0.000000	0.000000	0.000000	0.098364	0.187596	0.742464	1.058898
-23.086597	0.000000	0.000000	0.000000	0.098754	0.188568	0.746275	1.064359
-23.061590	0.000000	0.000000	0.000000	0.099143	0.189540	0.750086	1.069821
-23.036583	0.000000	0.000000	0.000000	0.099533	0.190512	0.753897	1.075282
-23.011576	0.000000	0.000000	0.000000	0.099923	0.191484	0.757709	1.080743
-22.986569	0.000000	0.000000	0.000000	0.100312	0.192456	0.761520	1.086204
-22.961562	0.000000	0.000000	0.000000	0.100702	0.193428	0.765331	1.091665
-22.936555	0.000000	0.000000	0.000000	0.101092	0.194400	0.769142	1.097126
-22.911549	0.000000	0.000000	0.000000	0.101482	0.195372	0.772953	1.102587
-22.886542	0.000000	0.000000	0.000000	0.101871	0.196344	0.776765	1.108048
-22.861535	0.000000	0.000000	0.000000	0.102287	0.197353	0.780615	1.113606
-22.836528	0.000000	0.000000	0.000000	0.102745	0.198426	0.784533	1.119326
-22.811521	0.000000	0.000000	0.000000	0.103204	0.199498	0.788450	1.125045
-22.786514	0.000000	0.000000	0.000000	0.103662	0.200571	0.792368	1.130765
-22.761507	0.000000	0.000000	0.000000	0.104120	0.201644	0.796286	1.136484
-22.736500	0.000000	0.000000	0.000000	0.104579	0.202716	0.800203	1.142204
-22.711493	0.000000	0.000000	0.000000	0.105037	0.203789	0.804121	1.147923
-22.686486	0.000000	0.000000	0.000000	0.105496	0.204861	0.808038	1.153643
-22.661479	0.000000	0.000000	0.000000	0.105954	0.205934	0.811956	1.159362
-22.636472	0.000000	0.000000	0.000000	0.106413	0.207007	0.815873	1.165082
-22.611465	0.000000	0.000000	0.000000	0.106878	0.208104	0.819910	1.171013
-22.586458	0.000000	0.000000	0.000000	0.107354	0.209240	0.824144	1.177295
-22.561451	0.000000	0.000000	0.000000	0.107831	0.210377	0.828379	1.183577
-22.536444	0.000000	0.000000	0.000000	0.108307	0.211514	0.832613	1.189858
-22.511438	0.000000	0.000000	0.000000	0.108783	0.212651	0.836848	1.196140
-22.486431	0.000000	0.000000	0.000000	0.109260	0.213788	0.841082	1.202422
