Measurement time:; 19/5/2024 14:18:56
Radiation device:; Synergy Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 200 x 200 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 147,2; 18,3; 0,49; 1726,5; 0,49
0,0; 146,3; 18,3; 0,51; 1813,1; 0,51
0,0; 145,2; 18,3; 0,49; 1739,2; 0,49
0,0; 144,2; 18,3; 0,48; 1691,1; 0,48
0,0; 143,2; 18,3; 0,48; 1711,8; 0,48
0,0; 142,2; 18,3; 0,48; 1696,2; 0,48
0,0; 141,2; 18,3; 0,50; 1771,4; 0,50
0,0; 140,2; 18,3; 0,50; 1781,7; 0,50
0,0; 139,2; 18,3; 0,51; 1792,2; 0,50
0,0; 138,2; 18,3; 0,54; 1926,7; 0,54
0,0; 137,2; 18,3; 0,56; 1991,6; 0,56
0,0; 136,2; 18,3; 0,56; 1991,0; 0,56
0,0; 135,2; 18,3; 0,58; 2038,1; 0,57
0,0; 134,2; 18,3; 0,63; 2215,2; 0,62
0,0; 133,2; 18,3; 0,72; 2557,7; 0,71
0,0; 132,2; 18,3; 0,79; 2803,2; 0,78
0,0; 131,2; 18,3; 0,87; 3068,7; 0,86
0,0; 130,2; 18,3; 1,03; 3647,1; 1,01
0,0; 129,2; 18,3; 1,27; 4485,9; 1,25
0,0; 128,2; 18,3; 1,44; 5109,9; 1,42
0,0; 127,2; 18,3; 1,82; 6435,9; 1,78
0,0; 126,2; 18,3; 2,16; 7657,2; 2,13
0,0; 125,2; 18,3; 2,70; 9557,0; 2,66
0,0; 124,1; 18,3; 3,36; 11895,3; 3,30
0,0; 123,1; 18,3; 4,10; 14520,5; 4,03
0,0; 122,1; 18,3; 5,16; 18245,4; 5,06
0,0; 121,1; 18,3; 6,37; 22559,0; 6,23
0,0; 120,1; 18,3; 7,74; 27394,6; 7,62
0,0; 119,1; 18,3; 9,40; 33263,4; 9,21
0,0; 118,1; 18,3; 11,48; 40642,4; 11,24
0,0; 117,1; 18,3; 13,70; 48490,2; 13,44
0,0; 116,1; 18,3; 16,23; 57435,4; 15,91
0,0; 115,1; 18,3; 19,22; 68011,7; 18,82
0,0; 114,1; 18,3; 22,29; 78896,6; 21,86
0,0; 113,1; 18,3; 25,94; 91799,0; 25,31
0,0; 112,1; 18,3; 29,84; 105596,0; 29,25
0,0; 111,1; 18,3; 34,16; 120907,8; 33,40
0,0; 110,1; 18,3; 38,35; 135739,0; 37,52
0,0; 109,1; 18,3; 43,24; 153028,6; 42,28
0,0; 108,1; 18,3; 48,05; 170071,3; 46,98
0,0; 107,1; 18,3; 52,91; 187267,7; 51,66
0,0; 106,1; 18,3; 57,60; 203870,8; 56,49
0,0; 105,1; 18,3; 62,59; 221516,2; 60,87
0,0; 104,1; 18,3; 66,73; 236191,5; 65,22
0,0; 103,1; 18,3; 70,20; 248442,5; 68,84
0,0; 102,1; 18,3; 74,91; 265122,2; 72,96
0,0; 101,1; 18,3; 78,33; 277233,6; 76,37
0,0; 100,0; 18,3; 80,49; 284875,2; 78,83
0,0; 99,0; 18,3; 84,19; 297980,5; 81,95
0,0; 98,0; 18,3; 86,51; 306197,4; 84,58
0,0; 97,0; 18,3; 87,88; 311026,2; 85,87
0,0; 96,0; 18,3; 89,82; 317901,0; 87,82
0,0; 95,0; 18,3; 92,07; 325860,2; 89,76
0,0; 94,0; 18,3; 93,15; 329681,8; 90,67
0,0; 93,0; 18,3; 94,66; 335027,4; 92,21
0,0; 92,0; 18,3; 95,08; 336535,3; 92,98
0,0; 91,0; 18,3; 95,92; 339496,4; 93,50
0,0; 90,0; 18,3; 96,66; 342097,5; 94,29
