Measurement time:; 13/8/2024 16:21:48
Radiation device:; Synergy Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 60 x 60 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 40,0; 0,74; 2328,1; 0,84
0,0; 0,0; 39,4; 0,86; 2706,8; 0,92
0,0; 0,0; 38,2; 0,90; 2828,0; 0,96
0,0; 0,0; 37,3; 1,01; 3172,4; 1,07
0,0; 0,0; 36,2; 1,20; 3784,9; 1,27
0,0; 0,0; 35,2; 1,48; 4680,8; 1,56
0,0; 0,0; 34,2; 2,18; 6890,0; 2,28
0,0; 0,0; 33,2; 3,14; 9915,2; 3,29
0,0; 0,0; 32,2; 5,04; 15883,5; 5,23
0,0; 0,0; 31,2; 7,19; 22671,1; 7,39
0,0; 0,0; 30,2; 10,62; 33488,2; 10,96
0,0; 0,0; 29,2; 15,02; 47383,5; 15,47
0,0; 0,0; 28,2; 19,89; 62752,4; 20,22
0,0; 0,0; 27,2; 25,87; 81593,3; 26,12
0,0; 0,0; 26,2; 32,97; 103989,6; 33,61
0,0; 0,0; 25,2; 40,27; 127022,8; 40,63
0,0; 0,0; 24,2; 48,98; 154503,3; 48,96
0,0; 0,0; 23,2; 55,65; 175524,2; 55,42
0,0; 0,0; 22,2; 62,58; 197400,0; 62,39
0,0; 0,0; 21,2; 69,84; 220282,3; 69,91
0,0; 0,0; 20,2; 78,61; 247958,8; 77,07
0,0; 0,0; 19,2; 82,95; 261653,0; 82,13
0,0; 0,0; 18,2; 89,40; 281997,8; 88,16
0,0; 0,0; 17,2; 94,54; 298186,5; 92,24
0,0; 0,0; 16,1; 97,61; 307879,6; 95,35
0,0; 0,0; 15,1; 100,31; 316402,3; 97,92
0,0; 0,0; 14,1; 103,50; 326467,1; 99,27
0,0; 0,0; 13,1; 103,02; 324938,5; 100,00
0,0; 0,0; 12,1; 103,68; 327017,1; 99,90
0,0; 0,0; 11,1; 103,51; 326498,7; 99,29
0,0; 0,0; 10,1; 102,74; 324058,9; 97,95
0,0; 0,0; 9,1; 100,23; 316155,3; 96,31
0,0; 0,0; 8,1; 99,47; 313742,5; 94,50
0,0; 0,0; 7,1; 97,67; 308076,3; 92,19
0,0; 0,0; 6,1; 95,34; 300707,7; 90,28
0,0; 0,0; 5,1; 93,24; 294096,2; 87,73
0,0; 0,0; 4,1; 91,12; 287414,8; 85,61
0,0; 0,0; 3,1; 88,68; 279698,9; 83,37
0,0; 0,0; 2,1; 86,60; 273165,1; 81,04
0,0; 0,0; 1,1; 84,83; 267586,0; 79,11
0,0; 0,0; 0,0; 84,00; 264952,4; 77,77


Measurement time:; 13/8/2024 16:22:14
Radiation device:; Synergy Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 60 x 60 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 60,0; 1,37; 4324,4; 1,46
0,0; 0,0; 59,4; 1,25; 3930,4; 1,28
0,0; 0,0; 58,3; 1,27; 3990,1; 1,30
0,0; 0,0; 57,3; 1,28; 4052,1; 1,31
0,0; 0,0; 56,3; 1,28; 4040,7; 1,30
0,0; 0,0; 55,3; 1,31; 4126,2; 1,32
0,0; 0,0; 54,3; 1,30; 4107,2; 1,31
0,0; 0,0; 53,3; 1,33; 4182,8; 1,33
0,0; 0,0; 52,3; 1,40; 4420,5; 1,40
0,0; 0,0; 51,2; 1,50; 4741,2; 1,50
