Measurement time:; 13/8/2024 16:05:44
Radiation device:; Platform Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 60 x 60 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -70,0; 13,2; 0,54; 1715,0; 0,52
0,0; -69,4; 13,2; 0,70; 2193,9; 0,68
0,0; -68,2; 13,2; 0,75; 2357,8; 0,73
0,0; -67,2; 13,2; 0,75; 2368,5; 0,73
0,0; -66,2; 13,2; 0,78; 2469,2; 0,76
0,0; -65,2; 13,2; 0,80; 2536,1; 0,79
0,0; -64,2; 13,2; 0,85; 2673,1; 0,83
0,0; -63,2; 13,2; 0,92; 2899,0; 0,89
0,0; -62,2; 13,2; 0,94; 2953,5; 0,92
0,0; -61,2; 13,2; 0,99; 3127,7; 0,97
0,0; -60,2; 13,2; 1,09; 3452,7; 1,07
0,0; -59,2; 13,2; 1,12; 3548,2; 1,10
0,0; -58,2; 13,2; 1,24; 3921,4; 1,21
0,0; -57,2; 13,2; 1,30; 4105,5; 1,28
0,0; -56,2; 13,2; 1,40; 4422,8; 1,36
0,0; -55,2; 13,2; 1,53; 4836,8; 1,49
0,0; -54,2; 13,2; 1,66; 5226,1; 1,62
0,0; -53,2; 13,2; 1,86; 5865,7; 1,82
0,0; -52,2; 13,2; 2,01; 6342,8; 1,96
0,0; -51,2; 13,2; 2,26; 7140,3; 2,21
0,0; -50,2; 13,2; 2,58; 8141,8; 2,52
0,0; -49,2; 13,2; 2,93; 9240,8; 2,86
0,0; -48,2; 13,2; 3,31; 10440,5; 3,25
0,0; -47,2; 13,2; 3,90; 12309,7; 3,78
0,0; -46,2; 13,2; 4,45; 14023,4; 4,37
0,0; -45,2; 13,2; 5,23; 16497,3; 5,10
0,0; -44,2; 13,2; 6,16; 19444,6; 6,06
0,0; -43,2; 13,2; 7,34; 23147,2; 7,12
0,0; -42,2; 13,2; 8,61; 27158,6; 8,44
0,0; -41,2; 13,2; 10,43; 32893,9; 10,08
0,0; -40,2; 13,2; 12,19; 38438,6; 11,94
0,0; -39,2; 13,2; 14,81; 46711,5; 14,35
0,0; -38,2; 13,2; 17,56; 55402,0; 17,13
0,0; -37,2; 13,2; 20,66; 65163,3; 20,32
0,0; -36,2; 13,2; 24,78; 78160,1; 24,08
0,0; -35,2; 13,2; 29,31; 92437,4; 28,43
0,0; -34,2; 13,2; 33,64; 106100,7; 32,96
0,0; -33,2; 13,2; 39,07; 123243,2; 38,29
0,0; -32,2; 13,2; 45,18; 142508,0; 43,82
0,0; -31,2; 13,2; 50,53; 159396,8; 49,46
0,0; -30,2; 13,2; 56,50; 178202,1; 55,33
0,0; -29,1; 13,2; 62,93; 198497,6; 61,04
0,0; -28,1; 13,2; 68,48; 216006,0; 66,14
0,0; -27,1; 13,2; 71,83; 226578,6; 71,23
0,0; -26,1; 13,2; 78,41; 247328,2; 75,65
0,0; -25,1; 13,2; 81,18; 256064,3; 79,43
0,0; -24,1; 13,2; 85,31; 269081,9; 82,86
0,0; -23,1; 13,2; 87,76; 276796,7; 85,65
0,0; -22,1; 13,2; 90,18; 284446,1; 87,93
0,0; -21,1; 13,2; 92,59; 292048,5; 89,99
0,0; -20,1; 13,2; 94,11; 296829,5; 91,62
0,0; -19,1; 13,2; 95,51; 301244,1; 92,90
0,0; -18,1; 13,2; 96,32; 303816,5; 94,13
0,0; -17,1; 13,2; 97,81; 308503,5; 95,11
0,0; -16,1; 13,2; 98,45; 310526,0; 95,89
0,0; -15,1; 13,2; 99,52; 313914,0; 96,61
0,0; -14,1; 13,2; 99,83; 314875,8; 97,14
0,0; -13,1; 13,2; 100,03; 315525,6; 97,68
0,0; -12,1; 13,2; 100,72; 317694,0; 98,10
0,0; -11,1; 13,2; 101,31; 319557,0; 98,41
0,0; -10,1; 13,2; 101,21; 319228,5; 98,75
0,0; -9,1; 13,2; 100,79; 317924,2; 99,15
0,0; -8,1; 13,2; 102,60; 323629,2; 99,32
0,0; -7,1; 13,2; 101,93; 321516,6; 99,58
0,0; -6,1; 13,2; 102,48; 323227,7; 99,70
0,0; -5,1; 13,2; 101,87; 321332,5; 99,74
0,0; -4,1; 13,2; 103,09; 325159,4; 99,94
0,0; -3,1; 13,2; 102,46; 323166,3; 99,93
0,0; -2,1; 13,2; 103,28; 325779,1; 100,01
0,0; -1,1; 13,2; 101,70; 320788,9; 100,14
0,0; -0,1; 13,2; 103,65; 326928,8; 99,99
0,0; 0,9; 13,2; 102,70; 323943,8; 100,14
0,0; 1,9; 13,2; 102,99; 324862,0; 100,02
0,0; 2,9; 13,2; 102,47; 323206,4; 100,12
0,0; 3,9; 13,2; 102,95; 324727,9; 99,97
0,0; 4,9; 13,2; 101,54; 320272,4; 99,90
0,0; 5,9; 13,2; 103,18; 325451,1; 99,81
0,0; 6,9; 13,2; 102,65; 323784,5; 99,63
0,0; 7,9; 13,2; 102,12; 322102,4; 99,51
0,0; 8,9; 13,2; 101,06; 318758,0; 99,44
