Measurement time:; 12/8/2024 14:20:21
Radiation device:; Platform Accelerator
Energy:; 6 MV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 247,2; 30,77; 96218,3; 30,82
0,0; 0,0; 246,2; 30,97; 96846,9; 31,00
0,0; 0,0; 245,2; 31,20; 97548,7; 31,11
0,0; 0,0; 244,2; 31,35; 98032,4; 31,33
0,0; 0,0; 243,2; 31,44; 98316,5; 31,42
0,0; 0,0; 242,2; 31,69; 99078,1; 31,66
0,0; 0,0; 241,2; 31,85; 99581,2; 31,81
0,0; 0,0; 240,2; 32,03; 100142,4; 32,03
0,0; 0,0; 239,2; 32,20; 100696,3; 32,17
0,0; 0,0; 238,2; 32,34; 101108,0; 32,27
0,0; 0,0; 237,2; 32,51; 101643,7; 32,46
0,0; 0,0; 236,2; 32,72; 102300,6; 32,64
0,0; 0,0; 235,1; 32,90; 102887,8; 32,83
0,0; 0,0; 234,1; 33,08; 103426,0; 33,03
0,0; 0,0; 233,1; 33,26; 103984,5; 33,24
0,0; 0,0; 232,1; 33,46; 104635,9; 33,39
0,0; 0,0; 231,1; 33,66; 105247,3; 33,54
0,0; 0,0; 230,1; 33,83; 105765,9; 33,76
0,0; 0,0; 229,1; 33,95; 106166,7; 33,92
0,0; 0,0; 228,1; 34,12; 106693,4; 34,04
0,0; 0,0; 227,1; 34,30; 107248,0; 34,26
0,0; 0,0; 226,1; 34,50; 107881,6; 34,44
0,0; 0,0; 225,1; 34,77; 108707,6; 34,63
0,0; 0,0; 224,1; 34,93; 109208,2; 34,80
0,0; 0,0; 223,1; 35,14; 109890,4; 35,08
0,0; 0,0; 222,1; 35,27; 110294,2; 35,23
0,0; 0,0; 221,1; 35,41; 110723,2; 35,26
0,0; 0,0; 220,1; 35,63; 111420,1; 35,53
0,0; 0,0; 219,1; 35,78; 111872,5; 35,73
0,0; 0,0; 218,1; 36,04; 112677,2; 35,94
0,0; 0,0; 217,1; 36,24; 113308,9; 36,12
0,0; 0,0; 216,1; 36,45; 113976,6; 36,39
0,0; 0,0; 215,1; 36,58; 114373,9; 36,49
0,0; 0,0; 214,1; 36,79; 115050,4; 36,65
0,0; 0,0; 213,1; 37,07; 115900,9; 36,96
0,0; 0,0; 212,1; 37,26; 116519,8; 37,14
0,0; 0,0; 211,1; 37,49; 117230,9; 37,35
0,0; 0,0; 210,1; 37,67; 117774,9; 37,54
0,0; 0,0; 209,1; 37,86; 118366,9; 37,71
0,0; 0,0; 208,1; 38,04; 118957,6; 37,93
0,0; 0,0; 207,1; 38,29; 119738,1; 38,15
0,0; 0,0; 206,1; 38,48; 120312,9; 38,34
0,0; 0,0; 205,1; 38,69; 120978,9; 38,54
0,0; 0,0; 204,1; 38,91; 121678,6; 38,77
0,0; 0,0; 203,1; 39,08; 122183,3; 38,94
0,0; 0,0; 202,1; 39,33; 122984,6; 39,13
0,0; 0,0; 201,1; 39,54; 123632,6; 39,39
0,0; 0,0; 200,1; 39,77; 124361,8; 39,59
0,0; 0,0; 199,1; 40,00; 125076,9; 39,83
0,0; 0,0; 198,1; 40,16; 125567,1; 39,98
0,0; 0,0; 197,0; 40,42; 126402,5; 40,23
0,0; 0,0; 196,0; 40,63; 127028,6; 40,45
0,0; 0,0; 195,0; 40,84; 127707,2; 40,66
0,0; 0,0; 194,0; 41,16; 128696,1; 40,93
0,0; 0,0; 193,0; 41,29; 129098,3; 41,13
0,0; 0,0; 192,0; 41,53; 129868,3; 41,32
0,0; 0,0; 191,0; 41,79; 130660,4; 41,55
0,0; 0,0; 190,0; 42,04; 131460,4; 41,81
0,0; 0,0; 189,0; 42,18; 131892,9; 42,03
0,0; 0,0; 188,0; 42,45; 132747,6; 42,24
0,0; 0,0; 187,0; 42,68; 133468,1; 42,47
0,0; 0,0; 186,0; 42,95; 134310,3; 42,71
0,0; 0,0; 185,0; 43,12; 134817,0; 42,88
0,0; 0,0; 184,0; 43,43; 135797,7; 43,19
0,0; 0,0; 183,0; 43,61; 136371,4; 43,42
0,0; 0,0; 182,0; 43,84; 137096,2; 43,58
0,0; 0,0; 181,0; 44,06; 137768,4; 43,83
0,0; 0,0; 180,0; 44,37; 138742,1; 44,14
0,0; 0,0; 179,0; 44,71; 139800,8; 44,45
0,0; 0,0; 178,0; 44,92; 140458,3; 44,68
0,0; 0,0; 177,0; 45,06; 140909,0; 44,81
0,0; 0,0; 176,0; 45,33; 141739,5; 45,07
0,0; 0,0; 175,0; 45,60; 142572,7; 45,37
0,0; 0,0; 174,0; 45,86; 143394,8; 45,61
0,0; 0,0; 173,0; 46,00; 143821,0; 45,82
0,0; 0,0; 172,0; 46,28; 144716,0; 46,02
0,0; 0,0; 171,0; 46,57; 145629,6; 46,32
0,0; 0,0; 170,0; 46,87; 146547,6; 46,58
0,0; 0,0; 169,0; 47,06; 147142,0; 46,80
0,0; 0,0; 168,0; 47,34; 148020,5; 47,00
0,0; 0,0; 167,0; 47,64; 148967,3; 47,38
0,0; 0,0; 166,0; 47,82; 149537,6; 47,49
0,0; 0,0; 164,9; 48,05; 150251,5; 47,81
0,0; 0,0; 163,9; 48,38; 151261,3; 48,06
0,0; 0,0; 162,9; 48,73; 152365,2; 48,38
0,0; 0,0; 161,9; 48,97; 153107,1; 48,69
0,0; 0,0; 160,9; 49,16; 153721,8; 48,86
0,0; 0,0; 159,9; 49,40; 154465,0; 49,10
0,0; 0,0; 158,9; 49,73; 155502,6; 49,39
0,0; 0,0; 157,9; 50,02; 156408,8; 49,68
0,0; 0,0; 156,9; 50,27; 157187,4; 49,89
0,0; 0,0; 155,9; 50,54; 158029,9; 50,15
0,0; 0,0; 154,9; 50,76; 158727,3; 50,47
0,0; 0,0; 153,9; 51,00; 159478,8; 50,68
0,0; 0,0; 152,9; 51,39; 160698,9; 51,00
0,0; 0,0; 151,9; 51,67; 161563,1; 51,36
0,0; 0,0; 150,9; 51,92; 162334,6; 51,55
0,0; 0,0; 149,9; 52,19; 163184,1; 51,86
0,0; 0,0; 148,9; 52,46; 164046,8; 52,12
0,0; 0,0; 147,9; 52,63; 164568,5; 52,33
0,0; 0,0; 146,9; 53,00; 165737,5; 52,62
0,0; 0,0; 145,9; 53,39; 166949,9; 52,98
0,0; 0,0; 144,9; 53,69; 167875,6; 53,28
0,0; 0,0; 143,9; 53,96; 168737,0; 53,55
0,0; 0,0; 142,9; 54,25; 169644,8; 53,85
0,0; 0,0; 141,9; 54,40; 170087,6; 54,02
0,0; 0,0; 140,9; 54,82; 171409,8; 54,45
0,0; 0,0; 139,9; 55,12; 172342,2; 54,67
0,0; 0,0; 138,9; 55,41; 173265,9; 55,02
0,0; 0,0; 137,9; 55,64; 173980,4; 55,25
0,0; 0,0; 136,9; 55,92; 174853,4; 55,51
0,0; 0,0; 135,9; 56,38; 176296,8; 56,06
0,0; 0,0; 134,9; 56,45; 176496,0; 56,09
0,0; 0,0; 133,9; 56,81; 177641,5; 56,39
0,0; 0,0; 132,9; 57,14; 178652,2; 56,76
0,0; 0,0; 131,9; 57,46; 179672,5; 57,09
0,0; 0,0; 130,8; 57,84; 180870,8; 57,48
0,0; 0,0; 129,8; 58,07; 181583,8; 57,62
0,0; 0,0; 128,8; 58,44; 182730,9; 57,96
0,0; 0,0; 127,8; 58,78; 183801,9; 58,39
0,0; 0,0; 126,8; 59,06; 184657,1; 58,64
0,0; 0,0; 125,8; 59,45; 185902,3; 58,95
0,0; 0,0; 124,8; 59,73; 186764,2; 59,29
0,0; 0,0; 123,8; 60,05; 187774,3; 59,60
0,0; 0,0; 122,8; 60,29; 188525,5; 59,83
0,0; 0,0; 121,8; 60,67; 189709,4; 60,22
0,0; 0,0; 120,8; 61,02; 190802,4; 60,63
0,0; 0,0; 119,8; 61,42; 192058,8; 60,88
