Measurement time:; 12/8/2024 14:22:05
Radiation device:; Platform Accelerator
Energy:; 6 MV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
69,8; 0,0; 16,0; 3,84; 12016,8; 3,82
68,9; 0,0; 16,0; 3,80; 11866,5; 3,76
67,5; 0,0; 16,0; 4,02; 12562,0; 3,98
66,4; 0,0; 16,0; 4,21; 13175,3; 4,18
65,5; 0,0; 16,0; 4,44; 13872,8; 4,38
64,6; 0,0; 16,0; 4,56; 14251,5; 4,52
63,6; 0,0; 16,0; 4,87; 15225,2; 4,82
62,6; 0,0; 16,0; 5,12; 16000,1; 5,06
61,6; 0,0; 16,0; 5,59; 17472,2; 5,53
60,6; 0,0; 16,0; 6,06; 18936,8; 5,99
59,6; 0,0; 16,0; 6,77; 21175,7; 6,70
58,5; 0,0; 16,0; 7,72; 24124,3; 7,64
57,5; 0,0; 16,0; 9,02; 28219,7; 8,93
56,6; 0,0; 16,0; 10,86; 33969,1; 10,75
55,5; 0,0; 16,0; 13,64; 42660,9; 13,54
54,5; 0,0; 16,0; 18,67; 58368,3; 18,50
53,5; 0,0; 16,0; 26,04; 81418,5; 25,79
52,5; 0,0; 16,0; 36,39; 113775,3; 35,97
51,5; 0,0; 16,0; 47,83; 149554,0; 47,27
50,5; 0,0; 16,0; 59,67; 186578,0; 59,01
49,5; 0,0; 16,0; 70,54; 220564,6; 69,98
48,5; 0,0; 16,0; 79,87; 249756,1; 79,12
47,5; 0,0; 16,0; 86,86; 271597,3; 86,01
46,5; 0,0; 16,0; 92,49; 289191,2; 91,59
45,5; 0,0; 16,0; 96,30; 301126,9; 95,42
44,5; 0,0; 16,0; 98,34; 307491,1; 97,28
43,5; 0,0; 16,0; 99,53; 311208,9; 98,38
42,5; 0,0; 16,0; 100,32; 313698,4; 99,10
41,5; 0,0; 16,0; 100,86; 315363,2; 99,93
40,5; 0,0; 16,0; 101,09; 316094,7; 100,00
39,4; 0,0; 16,0; 101,55; 317515,8; 100,61
38,4; 0,0; 16,0; 101,72; 318055,3; 100,69
