Measurement time:; 19/10/2017 15:18:48
Radiation device:; Platform Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 60 x 60 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 70,4; 13,2; 0,67; 2233,1; 0,61
0,0; 69,5; 13,2; 0,51; 1680,0; 0,52
0,0; 67,9; 13,2; 0,62; 2053,6; 0,58
0,0; 66,7; 13,2; 0,62; 2045,3; 0,59
0,0; 65,7; 13,2; 0,69; 2276,1; 0,69
0,0; 64,7; 13,2; 0,66; 2175,1; 0,65
0,0; 63,8; 13,2; 0,73; 2426,6; 0,72
0,0; 62,9; 13,2; 0,74; 2465,8; 0,74
0,0; 61,9; 13,2; 0,79; 2615,1; 0,78
0,0; 60,9; 13,2; 0,81; 2686,5; 0,82
0,0; 59,9; 13,2; 0,86; 2850,5; 0,86
0,0; 58,8; 13,2; 1,01; 3357,7; 0,98
0,0; 57,8; 13,2; 1,01; 3365,5; 1,00
0,0; 56,8; 13,2; 1,10; 3654,2; 1,15
0,0; 55,8; 13,2; 1,20; 3994,7; 1,23
0,0; 54,8; 13,2; 1,36; 4524,8; 1,29
0,0; 53,8; 13,2; 1,51; 4994,2; 1,45
0,0; 52,8; 13,2; 1,63; 5412,3; 1,64
0,0; 51,8; 13,2; 1,85; 6153,6; 1,87
0,0; 50,8; 13,2; 2,14; 7101,3; 2,14
0,0; 49,8; 13,2; 2,40; 7964,8; 2,50
0,0; 48,8; 13,2; 3,02; 10022,3; 2,95
0,0; 47,8; 13,2; 3,44; 11423,9; 3,39
0,0; 46,8; 13,2; 4,12; 13677,8; 3,97
0,0; 45,7; 13,2; 4,85; 16090,0; 4,70
0,0; 44,7; 13,2; 5,25; 17415,7; 5,61
0,0; 43,7; 13,2; 6,41; 21266,1; 6,70
0,0; 42,7; 13,2; 8,30; 27537,1; 8,00
0,0; 41,7; 13,2; 9,80; 32500,4; 9,49
0,0; 40,7; 13,2; 11,46; 38029,0; 11,36
0,0; 39,7; 13,2; 13,61; 45170,7; 13,56
0,0; 38,7; 13,2; 16,23; 53842,7; 16,23
0,0; 37,7; 13,2; 19,28; 63962,8; 19,32
0,0; 36,7; 13,2; 22,30; 73991,4; 22,76
0,0; 35,8; 13,2; 26,55; 88090,4; 26,30
0,0; 35,3; 13,2; 27,57; 91486,1; 27,86
0,0; 34,3; 13,2; 33,35; 110655,2; 32,32
0,0; 33,3; 13,2; 37,90; 125761,5; 37,52
0,0; 32,3; 13,2; 42,75; 141832,0; 42,51
0,0; 31,3; 13,2; 47,75; 158444,6; 48,15
0,0; 30,3; 13,2; 54,89; 182117,3; 53,72
0,0; 29,3; 13,2; 59,41; 197107,7; 59,01
0,0; 28,3; 13,2; 63,75; 211537,4; 64,30
0,0; 27,3; 13,2; 69,96; 232117,9; 69,06
0,0; 26,3; 13,2; 74,29; 246503,6; 73,57
0,0; 25,3; 13,2; 76,33; 253264,4; 77,50
0,0; 24,3; 13,2; 81,42; 270144,9; 80,75
0,0; 23,3; 13,2; 85,28; 282964,9; 83,50
0,0; 22,0; 13,2; 86,80; 288007,6; 86,43
0,0; 21,0; 13,2; 84,00; 278703,1; 89,00
0,0; 20,0; 13,2; 90,80; 301290,3; 90,71
0,0; 19,0; 13,2; 96,10; 318861,4; 91,72
0,0; 18,0; 13,2; 93,09; 308857,8; 92,66
0,0; 17,0; 13,2; 93,15; 309065,8; 94,01
0,0; 16,0; 13,2; 95,22; 315946,3; 94,57
0,0; 15,0; 13,2; 94,97; 315103,3; 95,42
0,0; 14,0; 13,2; 97,82; 324563,0; 96,06
0,0; 13,0; 13,2; 99,09; 328789,2; 96,44
0,0; 12,0; 13,2; 97,56; 323701,9; 96,51
0,0; 11,0; 13,2; 93,03; 308675,7; 97,28
0,0; 10,0; 13,2; 97,02; 321899,2; 97,89
0,0; 9,0; 13,2; 100,83; 334546,7; 97,98
0,0; 8,0; 13,2; 100,69; 334077,7; 97,87
0,0; 7,0; 13,2; 97,86; 324705,8; 98,17
0,0; 6,0; 13,2; 97,07; 322084,6; 98,33
0,0; 5,0; 13,2; 98,46; 326677,7; 98,56
0,0; 4,0; 13,2; 99,18; 329068,9; 98,67
0,0; 3,0; 13,2; 100,05; 331968,6; 98,75
0,0; 1,9; 13,2; 100,79; 334426,3; 98,42
0,0; 0,9; 13,2; 98,09; 325473,0; 98,65
0,0; -0,1; 13,2; 93,87; 311446,9; 99,03
0,0; -1,1; 13,2; 95,93; 318287,0; 99,00
0,0; -2,1; 13,2; 104,31; 346112,6; 98,86
0,0; -3,1; 13,2; 101,95; 338284,1; 98,79
0,0; -4,1; 13,2; 97,90; 324821,1; 98,57
0,0; -5,1; 13,2; 96,34; 319641,7; 98,58
0,0; -6,1; 13,2; 99,38; 329737,3; 98,66
0,0; -7,1; 13,2; 99,90; 331470,0; 98,38
0,0; -8,1; 13,2; 98,33; 326263,5; 98,12
0,0; -9,1; 13,2; 97,06; 322028,7; 98,12
0,0; -10,1; 13,2; 99,75; 330971,1; 97,91
0,0; -11,1; 13,2; 96,93; 321609,8; 97,32
0,0; -12,1; 13,2; 98,68; 327436,6; 96,97
0,0; -13,1; 13,2; 95,75; 317682,7; 96,63
0,0; -14,1; 13,2; 94,96; 315061,9; 96,23
0,0; -15,1; 13,2; 92,16; 305776,3; 95,57
0,0; -16,1; 13,2; 98,12; 325569,8; 95,00
0,0; -17,1; 13,2; 96,67; 320752,4; 93,88
0,0; -18,1; 13,2; 92,80; 307900,4; 92,90
0,0; -19,2; 13,2; 91,22; 302657,3; 91,69
0,0; -20,2; 13,2; 89,97; 298514,9; 90,52
0,0; -21,2; 13,2; 88,52; 293693,8; 88,67
0,0; -22,2; 13,2; 88,25; 292805,3; 86,69
0,0; -23,2; 13,2; 85,28; 282971,5; 84,18
0,0; -24,2; 13,2; 81,35; 269905,2; 81,16
0,0; -25,0; 13,2; 77,61; 257514,9; 78,46
0,0; -25,9; 13,2; 77,17; 256054,4; 75,98
0,0; -26,9; 13,2; 71,19; 236201,6; 71,27
0,0; -27,9; 13,2; 67,04; 222443,4; 66,85
0,0; -28,9; 13,2; 61,20; 203045,1; 62,04
0,0; -29,9; 13,2; 57,94; 192258,9; 56,58
0,0; -30,9; 13,2; 49,90; 165569,0; 51,10
0,0; -31,9; 13,2; 46,41; 153990,3; 45,71
0,0; -32,9; 13,2; 40,39; 134008,5; 40,23
0,0; -33,9; 13,2; 34,91; 115844,1; 35,08
0,0; -34,9; 13,2; 30,38; 100796,1; 30,21
0,0; -35,9; 13,2; 26,12; 86656,8; 25,77
0,0; -36,9; 13,2; 22,01; 73042,6; 21,86
0,0; -38,1; 13,2; 17,90; 59405,5; 18,25
0,0; -39,5; 13,2; 13,36; 44333,1; 13,98
0,0; -40,7; 13,2; 10,94; 36290,2; 11,10
0,0; -41,7; 13,2; 9,30; 30859,0; 9,16
0,0; -42,7; 13,2; 8,01; 26572,2; 7,61
0,0; -43,7; 13,2; 6,81; 22600,6; 6,48
0,0; -44,6; 13,2; 5,54; 18384,6; 5,45
0,0; -45,6; 13,2; 4,62; 15322,0; 4,65
0,0; -46,7; 13,2; 3,77; 12511,4; 3,95
0,0; -47,7; 13,2; 3,32; 11023,0; 3,32
0,0; -48,7; 13,2; 2,86; 9494,7; 2,84
0,0; -49,7; 13,2; 2,42; 8032,9; 2,45
0,0; -50,7; 13,2; 2,14; 7090,6; 2,16
0,0; -51,7; 13,2; 1,88; 6230,1; 1,81
0,0; -52,7; 13,2; 1,72; 5721,9; 1,70
0,0; -53,7; 13,2; 1,43; 4736,7; 1,44
0,0; -54,7; 13,2; 1,38; 4564,4; 1,38
0,0; -55,7; 13,2; 1,22; 4031,9; 1,23
0,0; -56,7; 13,2; 1,10; 3644,0; 1,09
0,0; -57,7; 13,2; 1,08; 3574,0; 1,05
0,0; -58,8; 13,2; 0,98; 3255,0; 0,98
0,0; -59,8; 13,2; 0,89; 2944,1; 0,90
0,0; -60,8; 13,2; 0,85; 2809,1; 0,84
0,0; -61,8; 13,2; 0,83; 2750,0; 0,82
0,0; -62,8; 13,2; 0,78; 2589,4; 0,77
0,0; -63,8; 13,2; 0,68; 2258,4; 0,67
0,0; -64,9; 13,2; 0,71; 2351,3; 0,72
0,0; -65,9; 13,2; 0,68; 2242,4; 0,69
0,0; -66,9; 13,2; 0,63; 2106,4; 0,66
0,0; -67,8; 13,2; 0,59; 1951,3; 0,58
0,0; -68,9; 13,2; 0,61; 2035,8; 0,62
0,0; -70,5; 13,2; 0,58; 1924,0; 0,57


Measurement time:; 19/10/2017 15:19:27
Radiation device:; Platform Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 60 x 60 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -70,6; 18,6; 0,03; 96,7; 0,03
0,0; -69,6; 18,6; 0,38; 1257,4; 0,37
0,0; -68,1; 18,6; 0,40; 1337,5; 0,40
0,0; -66,9; 18,6; 0,45; 1485,7; 0,46
0,0; -65,8; 18,6; 0,40; 1340,1; 0,40
0,0; -64,9; 18,6; 0,46; 1522,1; 0,45
0,0; -64,0; 18,6; 0,40; 1321,7; 0,41
0,0; -63,0; 18,6; 0,49; 1635,3; 0,48
0,0; -62,0; 18,6; 0,48; 1602,8; 0,47
0,0; -61,0; 18,6; 0,52; 1726,4; 0,54
0,0; -60,0; 18,6; 0,56; 1852,7; 0,58
0,0; -59,0; 18,6; 0,59; 1961,5; 0,58
0,0; -57,9; 18,6; 0,67; 2224,5; 0,65
0,0; -57,0; 18,6; 0,66; 2185,1; 0,66
0,0; -56,0; 18,6; 0,78; 2574,2; 0,77
0,0; -55,0; 18,6; 0,82; 2725,6; 0,83
0,0; -54,0; 18,6; 0,96; 3188,0; 0,96
0,0; -53,0; 18,6; 1,12; 3717,8; 1,11
0,0; -52,0; 18,6; 1,26; 4180,1; 1,28
0,0; -50,9; 18,6; 1,50; 4965,4; 1,51
0,0; -49,9; 18,6; 1,79; 5948,6; 1,74
0,0; -48,9; 18,6; 2,18; 7226,8; 2,15
0,0; -47,9; 18,6; 2,67; 8842,5; 2,56
0,0; -46,9; 18,6; 3,20; 10605,0; 3,16
0,0; -45,9; 18,6; 3,72; 12353,9; 4,10
0,0; -44,9; 18,6; 4,78; 15850,2; 5,04
0,0; -43,9; 18,6; 6,07; 20126,4; 6,07
0,0; -42,9; 18,6; 7,70; 25540,1; 7,28
0,0; -41,9; 18,6; 9,02; 29943,1; 8,86
0,0; -40,9; 18,6; 10,61; 35216,0; 10,69
0,0; -39,9; 18,6; 12,64; 41945,1; 12,86
