Measurement time:; 18/10/2017 15:51:42
Radiation device:; Platform Accelerator
Energy:; 6 MV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 50 x 50 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 300,0; 20,42; 63333,5; 23,67
0,0; 0,0; 299,1; 20,59; 63860,6; 23,72
0,0; 0,0; 297,5; 20,90; 64821,3; 23,90
0,0; 0,0; 296,4; 21,08; 65360,3; 24,28
0,0; 0,0; 295,4; 21,18; 65692,4; 24,33
0,0; 0,0; 294,6; 21,21; 65761,9; 24,42
0,0; 0,0; 293,7; 21,11; 65473,3; 24,48
0,0; 0,0; 292,6; 21,44; 66496,5; 24,61
0,0; 0,0; 291,6; 21,50; 66682,9; 24,77
0,0; 0,0; 290,6; 21,66; 67172,0; 24,90
0,0; 0,0; 289,6; 21,77; 67491,2; 25,08
0,0; 0,0; 288,6; 21,96; 68102,0; 25,25
0,0; 0,0; 287,6; 22,17; 68760,7; 25,37
0,0; 0,0; 286,6; 22,20; 68828,5; 25,50
0,0; 0,0; 285,6; 22,28; 69095,4; 25,66
0,0; 0,0; 284,6; 22,41; 69503,4; 25,88
0,0; 0,0; 283,6; 22,41; 69480,2; 25,99
0,0; 0,0; 282,5; 22,69; 70356,8; 26,13
0,0; 0,0; 281,6; 22,79; 70659,9; 26,21
0,0; 0,0; 280,5; 22,90; 71011,5; 26,40
0,0; 0,0; 279,5; 23,07; 71536,4; 26,55
0,0; 0,0; 278,5; 23,19; 71905,1; 26,76
0,0; 0,0; 277,5; 23,39; 72541,6; 26,77
0,0; 0,0; 276,5; 23,49; 72838,3; 26,97
0,0; 0,0; 275,5; 23,62; 73237,2; 27,11
0,0; 0,0; 274,5; 23,66; 73376,2; 27,14
0,0; 0,0; 273,5; 23,81; 73839,5; 27,48
0,0; 0,0; 272,5; 23,94; 74244,2; 27,56
0,0; 0,0; 271,5; 24,07; 74650,2; 27,64
0,0; 0,0; 270,5; 24,34; 75489,6; 27,93
0,0; 0,0; 269,5; 24,40; 75666,2; 28,00
0,0; 0,0; 268,5; 24,56; 76162,1; 28,09
0,0; 0,0; 267,4; 24,64; 76404,0; 28,33
0,0; 0,0; 266,4; 24,72; 76660,6; 28,36
0,0; 0,0; 265,4; 24,92; 77284,4; 28,61
0,0; 0,0; 264,4; 25,05; 77684,1; 28,71
0,0; 0,0; 263,4; 25,13; 77914,8; 29,00
0,0; 0,0; 262,4; 25,34; 78566,8; 29,11
0,0; 0,0; 261,4; 25,46; 78950,4; 29,35
0,0; 0,0; 260,4; 25,64; 79513,4; 29,42
0,0; 0,0; 259,4; 25,82; 80063,9; 29,50
0,0; 0,0; 258,4; 25,89; 80268,5; 29,84
0,0; 0,0; 257,4; 26,00; 80618,1; 29,93
0,0; 0,0; 256,4; 26,17; 81144,9; 30,05
0,0; 0,0; 255,3; 26,34; 81688,8; 30,32
0,0; 0,0; 254,3; 26,57; 82406,2; 30,51
0,0; 0,0; 253,3; 26,63; 82576,5; 30,63
0,0; 0,0; 252,3; 26,86; 83305,6; 30,86
0,0; 0,0; 251,3; 27,01; 83762,5; 30,97
0,0; 0,0; 250,3; 27,23; 84435,4; 31,20
0,0; 0,0; 249,3; 27,24; 84476,2; 31,20
0,0; 0,0; 248,3; 27,46; 85150,8; 31,72
0,0; 0,0; 247,3; 27,53; 85368,6; 31,70
0,0; 0,0; 246,3; 27,65; 85730,6; 31,84
0,0; 0,0; 245,3; 27,75; 86061,1; 31,90
0,0; 0,0; 244,2; 28,07; 87051,8; 32,19
0,0; 0,0; 243,2; 28,32; 87804,3; 32,42
0,0; 0,0; 242,2; 28,35; 87925,6; 32,51
0,0; 0,0; 241,2; 28,50; 88389,0; 32,66
0,0; 0,0; 240,2; 28,61; 88716,2; 33,01
0,0; 0,0; 239,2; 28,78; 89238,9; 33,26
0,0; 0,0; 238,2; 29,07; 90149,0; 33,32
0,0; 0,0; 237,2; 29,18; 90481,2; 33,49
0,0; 0,0; 236,2; 29,34; 90994,5; 33,72
0,0; 0,0; 235,2; 29,44; 91296,2; 33,93
0,0; 0,0; 234,2; 29,67; 91990,4; 34,09
0,0; 0,0; 233,2; 30,02; 93077,7; 34,28
0,0; 0,0; 232,2; 30,09; 93311,2; 34,46
0,0; 0,0; 231,2; 30,22; 93701,4; 34,69
0,0; 0,0; 230,2; 30,36; 94135,2; 34,81
0,0; 0,0; 229,1; 30,45; 94434,1; 35,21
0,0; 0,0; 228,1; 30,72; 95266,8; 35,30
0,0; 0,0; 227,1; 30,96; 95997,6; 35,42
0,0; 0,0; 226,1; 31,15; 96587,8; 35,71
0,0; 0,0; 225,1; 31,36; 97241,0; 35,98
0,0; 0,0; 224,1; 31,50; 97671,4; 36,04
0,0; 0,0; 223,1; 31,66; 98177,8; 36,25
0,0; 0,0; 222,1; 31,80; 98610,6; 36,46
0,0; 0,0; 221,1; 31,98; 99156,2; 36,68
0,0; 0,0; 220,1; 32,16; 99728,6; 36,90
0,0; 0,0; 219,1; 32,26; 100038,0; 37,17
0,0; 0,0; 218,1; 32,57; 100986,2; 37,35
0,0; 0,0; 217,0; 32,72; 101476,9; 37,43
0,0; 0,0; 216,0; 33,07; 102537,9; 37,86
0,0; 0,0; 215,0; 33,24; 103079,0; 38,05
0,0; 0,0; 214,0; 33,38; 103496,7; 38,29
0,0; 0,0; 213,0; 33,40; 103562,9; 38,58
0,0; 0,0; 212,0; 33,61; 104208,2; 38,67
0,0; 0,0; 211,0; 34,01; 105449,0; 38,87
0,0; 0,0; 210,0; 34,10; 105752,9; 39,16
0,0; 0,0; 209,0; 34,26; 106243,5; 39,25
0,0; 0,0; 208,0; 34,50; 106988,9; 39,68
0,0; 0,0; 207,0; 34,70; 107591,1; 39,71
0,0; 0,0; 206,0; 34,88; 108173,2; 40,02
0,0; 0,0; 205,0; 35,13; 108933,0; 40,25
0,0; 0,0; 204,0; 35,16; 109019,8; 40,45
0,0; 0,0; 203,0; 35,35; 109622,8; 40,73
0,0; 0,0; 201,9; 35,55; 110236,8; 40,88
0,0; 0,0; 200,9; 35,82; 111060,2; 41,14
0,0; 0,0; 199,9; 36,11; 111975,0; 41,31
0,0; 0,0; 198,9; 36,40; 112878,3; 41,71
0,0; 0,0; 197,9; 36,53; 113286,1; 41,99
0,0; 0,0; 196,9; 36,81; 114134,0; 41,93
0,0; 0,0; 195,9; 37,07; 114958,1; 42,32
0,0; 0,0; 194,9; 37,11; 115075,6; 42,71
0,0; 0,0; 193,9; 37,27; 115567,0; 42,80
0,0; 0,0; 192,9; 37,54; 116399,3; 43,13
0,0; 0,0; 191,9; 37,72; 116967,2; 43,40
0,0; 0,0; 190,8; 37,87; 117420,3; 43,55
0,0; 0,0; 189,8; 38,28; 118706,6; 43,83
0,0; 0,0; 188,8; 38,56; 119572,5; 44,19
0,0; 0,0; 187,8; 38,77; 120224,0; 44,46
0,0; 0,0; 186,8; 39,02; 120987,6; 44,40
0,0; 0,0; 185,8; 38,96; 120818,8; 44,96
0,0; 0,0; 184,8; 39,16; 121443,0; 45,12
0,0; 0,0; 183,8; 39,79; 123384,5; 45,55
0,0; 0,0; 182,8; 39,91; 123759,4; 45,67
0,0; 0,0; 181,8; 40,01; 124065,0; 45,88
0,0; 0,0; 180,8; 40,28; 124909,8; 46,18
0,0; 0,0; 179,8; 40,47; 125507,3; 46,55
0,0; 0,0; 178,7; 40,92; 126892,8; 46,53
0,0; 0,0; 177,8; 41,11; 127467,9; 47,11
0,0; 0,0; 176,7; 41,15; 127610,1; 47,15
0,0; 0,0; 175,7; 41,48; 128621,1; 47,60
0,0; 0,0; 174,7; 41,68; 129241,1; 47,76
0,0; 0,0; 173,7; 41,92; 129988,4; 48,11
0,0; 0,0; 172,7; 42,24; 130988,3; 48,32
0,0; 0,0; 171,7; 42,54; 131925,6; 48,70
0,0; 0,0; 170,7; 42,83; 132814,6; 49,14
0,0; 0,0; 169,7; 43,01; 133358,3; 49,26
0,0; 0,0; 168,7; 43,26; 134141,9; 49,56
0,0; 0,0; 167,7; 43,45; 134746,4; 50,01
0,0; 0,0; 166,7; 43,58; 135132,4; 50,04
0,0; 0,0; 165,7; 43,99; 136420,1; 50,37
0,0; 0,0; 164,7; 44,31; 137400,7; 50,83
0,0; 0,0; 163,6; 44,43; 137774,7; 50,85
0,0; 0,0; 162,7; 44,80; 138922,7; 51,28
0,0; 0,0; 161,6; 45,04; 139652,1; 51,65
0,0; 0,0; 160,6; 45,20; 140157,9; 51,93
0,0; 0,0; 159,6; 45,52; 141145,3; 52,19
0,0; 0,0; 158,6; 45,67; 141615,2; 52,64
0,0; 0,0; 157,6; 46,04; 142761,0; 52,64
0,0; 0,0; 156,6; 46,49; 144172,8; 53,12
0,0; 0,0; 155,6; 46,66; 144697,0; 53,37
0,0; 0,0; 154,6; 46,89; 145412,1; 53,83
0,0; 0,0; 153,6; 47,07; 145949,7; 53,89
0,0; 0,0; 152,6; 47,26; 146552,4; 54,19
0,0; 0,0; 151,5; 47,76; 148088,8; 54,51
0,0; 0,0; 150,5; 48,17; 149381,9; 54,85
0,0; 0,0; 149,5; 48,25; 149613,6; 55,36
0,0; 0,0; 148,5; 48,54; 150532,6; 55,60
0,0; 0,0; 147,5; 49,08; 152181,7; 56,13
0,0; 0,0; 146,5; 49,26; 152765,5; 56,36
0,0; 0,0; 145,5; 49,56; 153686,4; 56,61
0,0; 0,0; 144,5; 49,73; 154219,2; 56,94
0,0; 0,0; 143,5; 50,02; 155119,2; 57,44
0,0; 0,0; 142,5; 50,34; 156100,3; 57,54
0,0; 0,0; 141,5; 50,70; 157229,3; 57,93
0,0; 0,0; 140,5; 50,92; 157897,9; 58,35
0,0; 0,0; 139,5; 51,22; 158841,9; 58,66
0,0; 0,0; 138,4; 51,55; 159854,9; 58,98
0,0; 0,0; 137,4; 51,71; 160338,5; 59,16
0,0; 0,0; 136,4; 51,91; 160970,5; 59,68
0,0; 0,0; 135,4; 52,34; 162289,0; 60,06
0,0; 0,0; 134,4; 52,94; 164160,8; 60,45
0,0; 0,0; 133,4; 53,14; 164774,1; 60,72
0,0; 0,0; 132,4; 53,41; 165608,6; 61,03
0,0; 0,0; 131,4; 53,69; 166495,8; 61,53
0,0; 0,0; 130,4; 53,74; 166641,9; 61,92
0,0; 0,0; 129,6; 54,39; 168647,4; 62,15
0,0; 0,0; 128,7; 54,48; 168921,8; 62,41
