Measurement time:; 5/10/2017 16:29:47
Radiation device:; Synergy Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PPC 40
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 60 x 60 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 50,0; 0,61; 7119,9; 0,84
0,0; 0,0; 49,4; 0,57; 6597,3; 0,80
0,0; 0,0; 48,2; 0,57; 6654,0; 0,81
0,0; 0,0; 47,2; 0,58; 6749,7; 0,81
0,0; 0,0; 46,2; 0,58; 6741,0; 0,80
0,0; 0,0; 45,2; 0,59; 6844,9; 0,82
0,0; 0,0; 44,2; 0,60; 6967,8; 0,82
0,0; 0,0; 43,2; 0,60; 6966,5; 0,82
0,0; 0,0; 42,2; 0,60; 7034,0; 0,82
0,0; 0,0; 41,2; 0,61; 7106,0; 0,83
0,0; 0,0; 40,2; 0,62; 7226,3; 0,83
0,0; 0,0; 39,2; 0,62; 7235,9; 0,83
0,0; 0,0; 38,2; 0,63; 7356,5; 0,84
0,0; 0,0; 37,2; 0,64; 7493,7; 0,85
0,0; 0,0; 36,2; 0,67; 7767,7; 0,88
0,0; 0,0; 35,2; 0,76; 8846,4; 1,00
0,0; 0,0; 34,2; 0,96; 11234,2; 1,25
0,0; 0,0; 33,1; 1,40; 16306,2; 1,82
0,0; 0,0; 32,1; 2,28; 26610,4; 2,93
0,0; 0,0; 31,1; 3,59; 41928,0; 4,64
0,0; 0,0; 30,1; 5,60; 65324,7; 7,16
0,0; 0,0; 29,1; 8,36; 97596,1; 10,70
0,0; 0,0; 28,1; 12,48; 145680,7; 15,98
0,0; 0,0; 27,1; 16,76; 195659,7; 21,11
0,0; 0,0; 26,1; 22,72; 265232,8; 28,76
0,0; 0,0; 25,1; 28,32; 330608,6; 35,46
0,0; 0,0; 24,1; 35,42; 413519,0; 44,13
0,0; 0,0; 23,1; 41,45; 483870,2; 51,95
0,0; 0,0; 22,1; 49,00; 572096,2; 60,17
0,0; 0,0; 21,1; 55,29; 645527,6; 68,00
0,0; 0,0; 20,1; 61,45; 717408,9; 75,54
0,0; 0,0; 19,1; 66,60; 777487,0; 81,20
0,0; 0,0; 18,1; 72,03; 840907,9; 87,45
0,0; 0,0; 17,1; 75,38; 880057,8; 91,40
0,0; 0,0; 16,0; 79,07; 923082,0; 95,38
0,0; 0,0; 15,0; 81,26; 948618,7; 97,65
0,0; 0,0; 14,0; 82,95; 968429,5; 99,45
0,0; 0,0; 13,0; 83,67; 976753,4; 100,00
0,0; 0,0; 12,0; 83,49; 974689,3; 99,77
0,0; 0,0; 11,0; 84,04; 981158,3; 99,28
0,0; 0,0; 10,0; 82,25; 960210,7; 97,80
0,0; 0,0; 9,0; 81,60; 952618,6; 96,34
0,0; 0,0; 8,0; 79,85; 932261,1; 94,16
0,0; 0,0; 7,0; 79,13; 923852,7; 92,51
0,0; 0,0; 6,0; 76,72; 895697,0; 90,19
0,0; 0,0; 5,0; 76,00; 887305,3; 88,45
0,0; 0,0; 4,0; 73,97; 863602,7; 85,97
0,0; 0,0; 3,0; 72,67; 848426,9; 84,64
0,0; 0,0; 2,0; 71,29; 832299,3; 82,25
0,0; 0,0; 0,9; 70,47; 822706,0; 81,65
0,0; 0,0; 0,0; 71,13; 830446,5; 81,43


Measurement time:; 5/10/2017 16:30:13
Radiation device:; Synergy Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PPC 40
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 60 x 60 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 70,0; 0,92; 10710,2; 1,17
