Measurement time:; 4/10/2017 15:17:31
Radiation device:; Synergy Accelerator
Energy:; 6 MV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 SN 14317
Reference detector:; CC 13 SN 14316
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 300,0; 24,24; 71974,5; 23,11
0,0; 0,0; 299,0; 24,35; 72309,1; 23,17
0,0; 0,0; 297,4; 24,55; 72896,8; 23,37
0,0; 0,0; 296,4; 24,81; 73677,4; 23,57
0,0; 0,0; 295,2; 24,93; 74044,3; 23,70
0,0; 0,0; 294,0; 25,14; 74652,8; 23,87
0,0; 0,0; 292,8; 25,31; 75163,1; 24,07
0,0; 0,0; 291,6; 25,43; 75525,7; 24,15
0,0; 0,0; 290,4; 25,59; 75996,9; 24,32
0,0; 0,0; 289,1; 25,67; 76216,6; 24,44
0,0; 0,0; 288,0; 25,99; 77194,1; 24,69
0,0; 0,0; 286,7; 26,12; 77577,4; 24,77
0,0; 0,0; 285,5; 26,19; 77766,9; 24,96
0,0; 0,0; 284,3; 26,55; 78838,0; 25,15
0,0; 0,0; 283,1; 26,65; 79139,2; 25,32
0,0; 0,0; 281,9; 26,85; 79732,2; 25,41
0,0; 0,0; 280,7; 26,95; 80031,0; 25,61
0,0; 0,0; 279,5; 27,14; 80582,9; 25,82
0,0; 0,0; 278,3; 27,34; 81181,7; 25,96
0,0; 0,0; 277,1; 27,41; 81401,5; 26,18
0,0; 0,0; 275,9; 27,60; 81952,1; 26,31
0,0; 0,0; 274,7; 27,75; 82416,5; 26,32
0,0; 0,0; 273,5; 27,95; 83007,3; 26,60
0,0; 0,0; 272,3; 28,17; 83643,4; 26,74
0,0; 0,0; 271,1; 28,25; 83892,4; 26,96
0,0; 0,0; 269,8; 28,53; 84720,5; 27,04
0,0; 0,0; 268,6; 28,69; 85211,2; 27,31
0,0; 0,0; 267,4; 28,83; 85609,6; 27,49
0,0; 0,0; 266,2; 29,03; 86204,2; 27,67
0,0; 0,0; 265,0; 29,29; 86968,9; 27,86
0,0; 0,0; 263,8; 29,52; 87664,4; 28,02
0,0; 0,0; 262,6; 29,74; 88319,5; 28,27
0,0; 0,0; 261,4; 29,75; 88359,2; 28,31
0,0; 0,0; 260,2; 30,11; 89412,8; 28,57
0,0; 0,0; 259,0; 30,27; 89895,2; 28,78
0,0; 0,0; 257,8; 30,35; 90138,8; 28,88
0,0; 0,0; 256,6; 30,66; 91060,4; 29,04
0,0; 0,0; 255,4; 30,71; 91193,0; 29,30
0,0; 0,0; 254,2; 30,95; 91900,1; 29,48
0,0; 0,0; 253,0; 31,32; 93013,7; 29,72
0,0; 0,0; 251,8; 31,50; 93544,6; 29,82
0,0; 0,0; 250,6; 31,68; 94075,7; 30,08
0,0; 0,0; 249,4; 31,85; 94572,2; 30,20
0,0; 0,0; 248,2; 32,15; 95476,5; 30,58
0,0; 0,0; 246,9; 32,30; 95908,9; 30,70
0,0; 0,0; 245,7; 32,58; 96749,4; 30,89
0,0; 0,0; 244,5; 32,69; 97085,2; 30,99
0,0; 0,0; 243,3; 32,95; 97847,7; 31,29
0,0; 0,0; 242,1; 33,25; 98753,4; 31,45
0,0; 0,0; 240,9; 33,40; 99183,6; 31,70
0,0; 0,0; 239,7; 33,60; 99791,3; 31,86
0,0; 0,0; 238,5; 33,80; 100368,1; 32,06
0,0; 0,0; 237,3; 33,86; 100546,8; 32,24
0,0; 0,0; 236,1; 34,52; 102519,8; 32,55
0,0; 0,0; 234,9; 34,48; 102382,0; 32,75
0,0; 0,0; 233,6; 34,66; 102942,0; 32,94
0,0; 0,0; 232,4; 34,93; 103736,1; 33,23
0,0; 0,0; 231,2; 35,16; 104400,0; 33,41
0,0; 0,0; 230,0; 35,43; 105209,6; 33,50
0,0; 0,0; 228,8; 35,61; 105756,9; 33,78
0,0; 0,0; 227,6; 35,90; 106621,7; 33,96
0,0; 0,0; 226,4; 36,22; 107561,1; 34,32
0,0; 0,0; 225,2; 36,16; 107388,0; 34,49
0,0; 0,0; 224,0; 36,55; 108536,1; 34,65
0,0; 0,0; 222,8; 36,74; 109090,2; 34,89
0,0; 0,0; 221,6; 37,14; 110301,3; 35,11
0,0; 0,0; 220,4; 37,23; 110559,3; 35,35
0,0; 0,0; 219,2; 37,64; 111770,9; 35,64
0,0; 0,0; 218,0; 37,82; 112316,4; 35,82
0,0; 0,0; 216,8; 38,10; 113128,7; 36,05
0,0; 0,0; 215,6; 38,20; 113444,3; 36,38
0,0; 0,0; 214,4; 38,56; 114513,5; 36,44
0,0; 0,0; 213,2; 38,77; 115137,9; 36,77
0,0; 0,0; 212,0; 39,04; 115922,5; 37,05
0,0; 0,0; 210,8; 39,27; 116603,5; 37,26
0,0; 0,0; 209,6; 39,51; 117335,2; 37,48
0,0; 0,0; 208,4; 39,73; 117974,8; 37,74
0,0; 0,0; 207,2; 40,10; 119085,6; 37,97
0,0; 0,0; 206,0; 40,37; 119883,7; 38,27
0,0; 0,0; 204,8; 40,69; 120841,5; 38,39
0,0; 0,0; 203,5; 40,93; 121559,4; 38,69
0,0; 0,0; 202,3; 41,18; 122277,0; 39,04
0,0; 0,0; 201,1; 41,40; 122934,1; 39,22
0,0; 0,0; 199,9; 41,69; 123797,3; 39,44
0,0; 0,0; 198,7; 41,88; 124369,6; 39,67
0,0; 0,0; 197,5; 42,29; 125573,7; 40,03
0,0; 0,0; 196,3; 42,55; 126367,7; 40,24
0,0; 0,0; 195,1; 42,75; 126938,6; 40,48
0,0; 0,0; 193,9; 42,91; 127420,1; 40,79
0,0; 0,0; 192,7; 43,35; 128741,6; 41,01
0,0; 0,0; 191,5; 43,70; 129764,6; 41,24
