Equipo,Particula,Energia,DFS,TC,Coordenada,Profundidad
P,1,15,100,6,X,21.6
P,1,15,100,6,Y,21.6
P,1,12,100,6,X,22.31
P,1,12,100,6,Y,22.31
P,1,9,100,6,X,23.01
P,1,9,100,6,Y,23.01
P,1,6,100,6,X,23.68
P,1,6,100,6,Y,23.68
P,1,6,100,6,Z,N/A
P,1,9,100,6,Z,N/A
P,1,12,100,6,Z,N/A
P,1,15,100,6,Z,N/A
P,1,15,100,20,X,21.6
P,1,15,100,20,Y,21.6
P,1,12,100,20,X,22.31
P,1,12,100,20,Y,22.31
P,1,9,100,20,X,23.01
P,1,9,100,20,Y,23.01
P,1,6,100,20,X,23.68
P,1,6,100,20,Y,23.68
P,1,6,100,20,Z,N/A
P,1,9,100,20,Z,N/A
P,1,12,100,20,Z,N/A
P,1,15,100,20,Z,N/A
P,0,6,100,5,X,15
P,0,6,100,5,Y,15
P,0,6,100,5,X,5
P,0,6,100,5,Y,5
P,0,6,100,5,Z,N/A
P,0,6,100,10,X,15
P,0,6,100,10,Y,15
P,0,6,100,10,X,20
P,0,6,100,10,Y,20
P,0,6,100,10,X,23.4
P,0,6,100,10,Y,23.4
P,0,6,100,10,X,5
P,0,6,100,10,Y,5
P,0,6,100,10,Z,N/A
P,0,6,100,20,X,15
P,0,6,100,20,Y,15
P,0,6,100,20,Z,N/A
P,0,6,100,30,X,15
P,0,6,100,30,Y,15
P,0,6,100,30,Z,N/A
P,0,6,100,40,Z,N/A
P,0,6,90,0.5,X,15
P,0,6,90,0.5,Y,15
P,0,6,90,0.5,Z,N/A
P,0,6,90,1.5,X,15
P,0,6,90,1.5,Y,15
P,0,6,90,1.5,Z,N/A
P,0,6,90,1,X,15
P,0,6,90,1,Y,15
P,0,6,90,1,Z,N/A
P,0,6,90,2,X,15
P,0,6,90,2,Y,15
P,0,6,90,2,Z,N/A
P,0,6,90,3,X,15
P,0,6,90,3,Y,15
P,0,6,90,3,Z,N/A
P,0,6,90,4,X,15
P,0,6,90,4,Y,15
P,0,6,90,4,Z,N/A
P,0,6,90,10,X,15
P,0,6,90,10,Y,15
P,0,6,90,10,Z,N/A
P,0,15,100,5,X,15
P,0,15,100,5,Y,15
P,0,15,100,5,X,5
P,0,15,100,5,Y,5
P,0,15,100,5,Z,N/A
P,0,15,100,10,X,15
P,0,15,100,10,Y,15
P,0,15,100,10,X,20
P,0,15,100,10,Y,20
P,0,15,100,10,X,22.3
P,0,15,100,10,Y,22.3
P,0,15,100,10,X,5
P,0,15,100,10,Y,5
P,0,15,100,10,Z,N/A
P,0,15,100,20,X,15
P,0,15,100,20,Y,15
P,0,15,100,20,Z,N/A
P,0,15,100,30,X,15
P,0,15,100,30,Y,15
P,0,15,100,30,Z,N/A
P,0,15,100,40,Z,N/A
S,1,15,100,6,X,20.31
S,1,15,100,6,Y,20.31
S,1,12,100,6,X,21.11
S,1,12,100,6,Y,21.11
S,1,9,100,6,X,22.24
S,1,9,100,6,Y,22.24
S,1,6,100,6,X,23.22
S,1,6,100,6,Y,23.22
S,1,6,100,6,Z,N/A
S,1,9,100,6,Z,N/A
S,1,12,100,6,Z,N/A
S,1,15,100,6,Z,N/A
S,1,18,100,6,Z,N/A
S,1,15,100,20,X,20.21
S,1,15,100,20,Y,20.21
S,1,12,100,20,X,21.01
S,1,12,100,20,Y,21.01
S,1,9,100,20,X,22.14
S,1,9,100,20,Y,22.14
S,1,6,100,20,X,23.12
S,1,6,100,20,Y,23.12
S,1,6,100,20,Z,N/A
S,1,9,100,20,Z,N/A
S,1,12,100,20,Z,N/A
S,1,15,100,20,Z,N/A
S,0,6,100,5,X,15
S,0,6,100,5,Y,15
S,0,6,100,5,X,5
S,0,6,100,5,Y,5
S,0,6,100,5,Z,N/A
S,0,6,100,10,X,15
S,0,6,100,10,Y,15
S,0,6,100,10,X,20
S,0,6,100,10,Y,20
S,0,6,100,10,X,23.4
S,0,6,100,10,Y,23.4
S,0,6,100,10,X,5
S,0,6,100,10,Y,5
S,0,6,100,10,Z,N/A
S,0,6,100,20,X,15
S,0,6,100,20,Y,15
S,0,6,100,20,Z,N/A
S,0,6,100,30,X,15
S,0,6,100,30,Y,15
S,0,6,100,30,Z,N/A
S,0,6,100,40,Z,N/A
S,0,6,90,0.5,X,15
S,0,6,90,0.5,Y,15
S,0,6,90,0.5,Z,N/A
S,0,6,90,1.5,X,15
S,0,6,90,1.5,Y,15
S,0,6,90,1.5,Z,N/A
S,0,6,90,1,X,15
S,0,6,90,1,Y,15
S,0,6,90,1,Z,N/A
S,0,6,90,2,X,15
S,0,6,90,2,Y,15
S,0,6,90,2,Z,N/A
S,0,6,90,3,X,15
S,0,6,90,3,Y,15
S,0,6,90,3,Z,N/A
S,0,6,90,4,X,15
S,0,6,90,4,Y,15
S,0,6,90,4,Z,N/A
S,0,6,90,10,X,15
S,0,6,90,10,Y,15
S,0,6,90,10,Z,N/A
S,0,15,100,5,X,15
S,0,15,100,5,Y,15
S,0,15,100,5,X,5
S,0,15,100,5,Y,5
S,0,15,100,5,Z,N/A
S,0,15,100,10,X,15
